Player,Hero,Time,Rating,% of Kills,Kills per 10,Deaths per 10,Kills/Deaths per 10,Kills - Deaths per 10,Ults per 10,Kills per Ult,Fights Fought,% Get First Kills,% Get First Death,% HS Kills,% Ult Kills,TT Charge First Ultimate (s/ult),TT Charge Ult (s/ult),Ult Hold Time (s/ult),Kills per 10,Kill Impact per 10,Impact / Kill per 10,Death per 10,Death Impact per 10,Impact / Death per 10,I/K - I/D,FUU Win - Fwin,% Ult outside of fight,PTK,PTD,F3K,F3D,timeSec
Sleepy vs Dallas Fuel,Zenyatta,0:42:14,1844,17.80%,6.63,1.42,4.67,5.21,4.74,0,59,16.95%,5.08%,0.00%,0.00%,83.25,75.45,38.35,6.63,3.1,0.468,1.42,-0.18,-0.124,0.592,-5.86,30.00%,17.83%,8.00%,29.27%,9.76%,2534
 Shuvs Los Angeles Valiant,Zenyatta,0:53:52,1767,23.50%,6.68,3.34,2,3.34,5.94,0,66,10.61%,3.03%,0.00%,0.00%,84.4,73.03,18.34,6.68,2.04,0.305,3.34,-2.03,-0.607,0.912,-26,22.58%,23.53%,16.22%,32.65%,16.33%,3232
JJoNak vs San Francisco Shock,Zenyatta,1:03:18,1764,22.20%,6.16,3.16,1.95,3,5.37,0,69,17.39%,1.45%,0.00%,0.00%,76.8,69,29.74,6.16,2.44,0.397,3.16,-1.5,-0.475,0.872,-9.97,18.18%,22.16%,16.39%,33.33%,7.41%,3798
 Rapelvs Paris Eternal,Zenyatta,0:15:30,1728,23.00%,10.97,3.23,3.4,7.74,5.16,0,20,20.00%,0.00%,0.00%,0.00%,80,80.63,26.5,10.97,5.7,0.52,3.23,-5.57,-1.728,2.248,18.33,25.00%,22.97%,16.67%,44.44%,11.11%,930
JJoNak vs Toronto Defiant,Zenyatta,0:45:15,1723,21.30%,5.97,2.43,2.45,3.54,4.86,0,55,14.55%,0.00%,0.00%,0.00%,82,77.68,38,5.97,1.84,0.309,2.43,-0.02,-0.009,0.318,-13.33,10.00%,21.26%,12.64%,29.41%,8.82%,2715
 Nekovs Hangzhou Spark,Zenyatta,0:58:16,1719,17.30%,5.49,1.72,3.2,3.78,4.63,0,69,7.25%,2.90%,0.00%,0.00%,76.69,76.67,38.41,5.49,0.7,0.127,1.72,0.45,0.262,-0.135,-0.07,0.00%,17.30%,7.25%,24.56%,5.26%,3496
JJoNak vs Boston Uprising,Zenyatta,0:59:31,1659,23.30%,8.06,3.7,2.18,4.37,4.37,0,68,17.65%,5.88%,0.00%,0.00%,87.5,82.15,43.54,8.06,2.11,0.261,3.7,0.63,0.171,0.09,-2.67,4.17%,23.30%,17.89%,29.63%,16.67%,3571
 Shuvs Chengdu Hunters,Zenyatta,0:17:35,1650,28.30%,7.39,4.55,1.63,2.84,5.69,0,23,17.39%,4.35%,0.00%,0.00%,64.2,64.5,24.8,7.39,2.01,0.272,4.55,1.58,0.347,-0.075,-14.78,20.00%,28.26%,15.69%,38.89%,27.78%,1055
ryujehongvs Los Angeles Gladiators,Zenyatta,0:33:41,1587,17.40%,5.94,2.97,2,2.97,5.64,0,41,12.20%,0.00%,0.00%,0.00%,85.63,75.68,19.47,5.94,1.27,0.214,2.97,-0.66,-0.221,0.435,5.75,15.79%,17.39%,14.93%,28.57%,14.29%,2021
 Viol2tvs Washington Justice,Zenyatta,0:44:22,1575,13.90%,5.18,2.25,2.3,2.93,5.18,0,57,10.53%,7.02%,0.00%,0.00%,73.33,67.87,38.52,5.18,1.85,0.357,2.25,1.02,0.454,-0.097,-3.37,23.81%,13.86%,13.33%,32.50%,15.00%,2662
ryujehongvs Dallas Fuel,Zenyatta,0:35:33,1545,22.10%,4.78,3.94,1.21,0.84,5.34,0,38,10.53%,10.53%,0.00%,0.00%,71.25,71.63,20.74,4.78,0.26,0.055,3.94,0.12,0.032,0.023,0.53,11.11%,22.08%,15.05%,20.69%,24.14%,2133
Izayaki vs Houston Outlaws,Zenyatta,0:56:25,1510,21.90%,6.56,5.67,1.16,0.89,4.25,0,69,14.49%,8.70%,0.00%,0.00%,77.11,74.42,52.63,6.56,2.28,0.348,5.67,-0.05,-0.008,0.356,-0.46,12.50%,21.89%,20.00%,32.08%,22.64%,3385
Rawkus vs Atlanta Reign,Zenyatta,0:44:45,1505,16.80%,5.36,3.13,1.71,2.23,4.69,0,58,5.17%,3.45%,0.00%,0.00%,82,78.67,36.67,5.36,-1.07,-0.2,3.13,0.71,0.226,-0.426,-0.4,21.05%,16.78%,11.29%,17.02%,8.51%,2685
 Viol2tvs Paris Eternal,Zenyatta,0:50:08,1499,14.30%,4.79,2.99,1.6,1.8,5.19,0,57,10.53%,3.51%,0.00%,0.00%,61.88,66.35,38.31,4.79,1.98,0.414,2.99,0.88,0.293,0.121,1.55,20.00%,14.29%,15.96%,29.55%,15.91%,3008
uNKOE vs Philadelphia Fusion,Zenyatta,0:47:06,1494,17.00%,6.16,3.61,1.71,2.55,4.46,0,60,15.00%,10.00%,0.00%,0.00%,89.11,79.24,42.33,6.16,1.92,0.312,3.61,1.84,0.509,-0.197,-2.08,5.00%,16.96%,16.04%,34.04%,17.02%,2826
 Nekovs Boston Uprising,Zenyatta,0:55:42,1489,15.30%,5.57,3.23,1.72,2.33,5.57,0,70,5.71%,5.71%,0.00%,0.00%,82.3,76.23,21.97,5.57,0.71,0.128,3.23,-0.2,-0.062,0.19,4,12.90%,15.35%,13.64%,19.64%,16.07%,3342
 Shazvs Hangzhou Spark,Zenyatta,0:51:03,1484,16.90%,4.51,3.92,1.15,0.59,5.68,0,59,5.08%,3.39%,0.00%,0.00%,72.09,75.17,23.03,4.51,0.97,0.215,3.92,-0.81,-0.208,0.423,-2.62,10.71%,16.91%,11.90%,15.69%,15.69%,3063
 Gidovs Paris Eternal,Zenyatta,0:48:35,1480,16.80%,3.91,2.47,1.58,1.44,5.35,0,53,5.66%,1.89%,0.00%,0.00%,75.38,73.54,30.92,3.91,0.06,0.016,2.47,1.7,0.686,-0.67,-12.63,38.46%,16.81%,12.77%,27.27%,15.15%,2915
Twilight vs Los Angeles Valiant,Zenyatta,0:24:38,1470,10.70%,4.47,2.44,1.83,2.03,6.5,0,31,6.45%,0.00%,0.00%,0.00%,67.8,66.19,15.56,4.47,2.36,0.53,2.44,-2.44,-1.002,1.532,8.21,13.33%,10.68%,13.95%,15.38%,7.69%,1478
 Shuvs Vancouver Titans,Zenyatta,0:48:05,1464,19.80%,3.95,4.37,0.9,-0.42,5.2,0,58,12.07%,8.62%,0.00%,0.00%,75,75.08,28.8,3.95,1.55,0.392,4.37,1.68,0.385,0.007,5.9,8.70%,19.79%,14.69%,29.27%,19.51%,2885
 Shuvs Los Angeles Gladiators,Zenyatta,0:51:51,1460,17.90%,3.86,2.89,1.33,0.96,5.21,0,56,8.93%,5.36%,0.00%,0.00%,77.88,74.04,31.93,3.86,0.35,0.091,2.89,0.3,0.104,-0.013,-3.57,23.08%,17.86%,14.02%,16.22%,13.51%,3111
Twilight vs San Francisco Shock,Zenyatta,0:57:08,1455,18.00%,5.25,4.55,1.15,0.7,5.08,0,71,21.13%,2.82%,0.00%,0.00%,76.6,74.72,29.48,5.25,2.63,0.502,4.55,-1.48,-0.325,0.827,-9.93,10.34%,17.96%,18.71%,28.30%,18.87%,3428
Twilight vs Paris Eternal,Zenyatta,0:44:52,1454,15.40%,6.24,3.79,1.65,2.45,5.35,0,54,3.70%,1.85%,0.00%,0.00%,82.29,76.38,26.83,6.24,0.52,0.084,3.79,-1.1,-0.292,0.376,23.89,4.17%,15.38%,16.67%,19.15%,14.89%,2692
Boomboxvs Paris Eternal,Zenyatta,0:43:02,1445,19.30%,6.74,4.88,1.38,1.86,5.34,0,52,9.62%,13.46%,0.00%,0.00%,83,79.17,23.17,6.74,2.95,0.438,4.88,0.75,0.153,0.285,8.97,0.00%,19.33%,20.59%,28.26%,17.39%,2582
 Shazvs San Francisco Shock,Zenyatta,1:12:00,1442,16.10%,4.31,3.33,1.29,0.97,5.56,0,79,10.13%,3.80%,0.00%,0.00%,78.69,75.03,22.8,4.31,1.52,0.354,3.33,-1.04,-0.313,0.667,-3.97,12.82%,16.15%,15.89%,21.82%,16.36%,4320
ryujehongvs Washington Justice,Zenyatta,0:55:45,1424,15.90%,4.3,2.87,1.5,1.43,4.3,0,58,10.34%,1.72%,0.00%,0.00%,76.18,84.29,40.79,4.3,1.92,0.445,2.87,-1.51,-0.526,0.971,5.67,9.09%,15.89%,14.68%,17.39%,10.87%,3345
Twilight vs Guangzhou Charge,Zenyatta,0:33:17,1421,24.20%,6.91,3.61,1.92,3.3,5.11,0,37,18.92%,8.11%,0.00%,0.00%,94.71,86.53,22.24,6.91,2.64,0.381,3.61,0.07,0.02,0.361,1.8,6.25%,24.21%,26.09%,30.77%,34.62%,1997
 Luffyvs Boston Uprising,Zenyatta,0:48:18,1420,17.60%,6.83,3.93,1.74,2.9,4.35,0,57,15.79%,7.02%,0.00%,0.00%,87.91,82.86,38.9,6.83,2.12,0.311,3.93,0.01,0.003,0.308,-7.84,5.26%,17.65%,19.79%,22.73%,18.18%,2898
KodaK vs Toronto Defiant,Zenyatta,0:32:51,1417,16.70%,4.57,4.87,0.94,-0.3,5.18,0,36,16.67%,11.11%,0.00%,0.00%,79.33,75.94,25.94,4.57,3.07,0.672,4.87,0.6,0.123,0.549,12.7,6.25%,16.67%,15.38%,32.35%,29.41%,1971
DogManvs Paris Eternal,Zenyatta,0:46:34,1417,16.40%,7.3,4.51,1.62,2.79,4.51,0,63,7.94%,3.17%,0.00%,0.00%,82.25,81.52,42.38,7.3,0.77,0.105,4.51,0.22,0.05,0.055,-1.96,5.26%,16.43%,19.81%,32.69%,21.15%,2794
Rawkus vs Toronto Defiant,Zenyatta,1:01:26,1414,20.10%,5.7,5.53,1.03,0.16,4.56,0,78,10.26%,6.41%,0.00%,0.00%,88.42,81.86,39.57,5.7,1.46,0.256,5.53,0.09,0.016,0.24,-1.66,26.92%,20.11%,16.75%,25.00%,22.06%,3686
Aimgod vs Dallas Fuel,Zenyatta,1:07:51,1407,18.30%,5.16,4.72,1.09,0.44,4.72,0,85,12.94%,9.41%,0.00%,0.00%,75.57,80.09,36.31,5.16,2.55,0.494,4.72,1.16,0.247,0.247,-7.79,17.24%,18.32%,16.00%,26.56%,28.13%,4071
uNKOE vs Shanghai Dragons,Zenyatta,0:56:11,1406,16.60%,5.7,4.09,1.39,1.6,5.16,0,69,7.25%,10.14%,0.00%,0.00%,86.25,80.21,24.72,5.7,1.4,0.246,4.09,0.59,0.144,0.102,5.58,11.54%,16.58%,15.44%,17.24%,18.97%,3371
Aimgod vs Seoul Dynasty,Zenyatta,1:03:58,1399,15.90%,4.06,3.13,1.3,0.94,4.85,0,72,6.94%,8.33%,0.00%,0.00%,87.31,84.94,30.23,4.06,1.35,0.331,3.13,0.37,0.118,0.213,-8.99,14.29%,15.85%,11.70%,19.35%,19.35%,3838
Boomboxvs London Spitfire,Zenyatta,0:51:06,1394,18.70%,5.09,5.09,1,0,5.48,0,63,14.29%,6.35%,0.00%,0.00%,81.22,81.04,9.07,5.09,2.24,0.44,5.09,-0.39,-0.076,0.516,-3.93,12.00%,18.71%,16.77%,24.44%,22.22%,3066
HagoPeunvs Guangzhou Charge,Zenyatta,0:31:46,1392,15.50%,3.46,2.83,1.22,0.63,4.09,0,37,8.11%,2.70%,0.00%,0.00%,101,82.46,46.23,3.46,1.03,0.296,2.83,-1.32,-0.465,0.761,-4.05,23.08%,15.49%,14.75%,26.09%,8.70%,1906
 HyPvs Washington Justice,Zenyatta,0:53:21,1391,17.00%,3.56,3.56,1,0,4.87,0,60,15.00%,5.00%,0.00%,0.00%,83.9,82.69,34.96,3.56,1.94,0.544,3.56,-0.26,-0.073,0.617,-18.33,16.67%,16.96%,15.57%,28.21%,12.82%,3201
Bdosin vs Los Angeles Gladiators,Zenyatta,0:51:36,1389,15.10%,4.26,3.49,1.22,0.78,5.23,0,61,9.84%,3.28%,0.00%,0.00%,79.45,78.04,27.26,4.26,2.3,0.539,3.49,0.41,0.116,0.423,-1.72,12.00%,15.07%,14.63%,17.39%,15.22%,3096
Aimgod vs Florida Mayhem,Zenyatta,0:57:12,1380,15.00%,4.37,3.5,1.25,0.87,4.55,0,65,12.31%,9.23%,0.00%,0.00%,84.45,79.08,39.15,4.37,1.36,0.311,3.5,-1.71,-0.489,0.8,17.69,4.00%,14.97%,15.04%,16.00%,22.00%,3432
Twilight vs Shanghai Dragons,Zenyatta,0:38:04,1377,16.90%,6.57,4.2,1.56,2.36,4.2,0,50,6.00%,8.00%,0.00%,0.00%,84.78,85.19,23.88,6.57,1.53,0.233,4.2,0.96,0.229,0.004,3.64,12.50%,16.89%,17.78%,23.68%,23.68%,2284
 HyPvs Los Angeles Gladiators,Zenyatta,0:57:11,1377,16.30%,5.07,4.55,1.12,0.52,4.55,0,65,4.62%,4.62%,0.00%,0.00%,89.1,86.15,37.69,5.07,1.21,0.239,4.55,0.25,0.055,0.184,-1.61,4.00%,16.29%,15.76%,34.62%,13.46%,3431
Twilight vs Chengdu Hunters,Zenyatta,0:43:59,1370,18.50%,5.23,4.77,1.1,0.45,4.77,0,54,9.26%,3.70%,0.00%,0.00%,85.83,76.29,38.71,5.23,1.99,0.38,4.77,-0.78,-0.163,0.543,-2.22,5.00%,18.55%,19.81%,18.18%,20.45%,2639
Aimgod vs Shanghai Dragons,Zenyatta,0:42:41,1364,21.30%,3.98,5.15,0.77,-1.17,5.15,0,50,6.00%,8.00%,0.00%,0.00%,87.58,83.82,19.36,3.98,-0.1,-0.025,5.15,0.64,0.124,-0.149,1.71,22.73%,21.25%,14.10%,18.42%,18.42%,2561
JJoNak vs Seoul Dynasty,Zenyatta,0:35:18,1358,11.70%,3.68,1.98,1.86,1.7,4.53,0,40,2.50%,2.50%,0.00%,0.00%,84,78.63,41.06,3.68,0.67,0.183,1.98,0.67,0.34,-0.157,15,33.33%,11.71%,11.86%,14.29%,10.71%,2118
Izayaki vs Vancouver Titans,Zenyatta,0:34:37,1350,18.30%,4.33,6.36,0.68,-2.02,5.2,0,44,4.55%,4.55%,0.00%,0.00%,59.67,64.39,31.83,4.33,-0.52,-0.119,6.36,-0.26,-0.041,-0.078,-15.91,5.88%,18.29%,17.89%,17.95%,15.38%,2077
 Shazvs Guangzhou Charge,Zenyatta,0:51:57,1344,14.80%,3.08,3.08,1,0,5,0,56,5.36%,3.57%,0.00%,0.00%,88.88,76.54,33.73,3.08,0.76,0.246,3.08,-0.17,-0.055,0.301,-9.68,12.00%,14.81%,14.04%,16.22%,18.92%,3117
Izayaki vs Toronto Defiant,Zenyatta,1:06:17,1343,14.60%,3.92,4.68,0.84,-0.75,6.19,0,82,4.88%,3.66%,0.00%,0.00%,68.83,67.9,18.73,3.92,0.78,0.199,4.68,-1.68,-0.359,0.558,-7.56,22.50%,14.61%,16.32%,12.90%,17.74%,3977
Izayaki vs New York Excelsior,Zenyatta,0:53:14,1338,18.70%,3.76,5.07,0.74,-1.31,5.26,0,57,14.04%,1.75%,0.00%,0.00%,81.2,82.18,22.25,3.76,2.49,0.662,5.07,-1.2,-0.237,0.899,-17.77,3.70%,18.69%,17.09%,23.91%,21.74%,3194
 BeBevs Houston Outlaws,Zenyatta,0:25:04,1332,11.00%,3.19,1.99,1.6,1.2,5.19,0,30,0.00%,3.33%,0.00%,0.00%,85,79.69,23.77,3.19,-0.61,-0.191,1.99,-0.52,-0.26,0.069,3.33,0.00%,10.96%,9.80%,13.04%,4.35%,1504
Bdosin vs Washington Justice,Zenyatta,1:02:58,1327,17.60%,5.08,2.54,2,2.54,3.97,0,69,7.25%,7.25%,0.00%,0.00%,95.17,93.88,50.36,5.08,1.25,0.245,2.54,0.82,0.321,-0.076,9.81,20.00%,17.58%,17.58%,22.73%,18.18%,3778
 kyo vs Vancouver Titans,Zenyatta,0:56:08,1321,15.00%,3.74,4.63,0.81,-0.89,5.52,0,72,8.33%,5.56%,0.00%,0.00%,90.6,74.45,21.84,3.74,1.06,0.282,4.63,-0.09,-0.02,0.302,4.17,6.90%,15.00%,15.20%,18.18%,18.18%,3368
 Shazvs Atlanta Reign,Zenyatta,0:42:36,1319,11.40%,4.46,3.52,1.27,0.94,5.4,0,47,6.38%,2.13%,0.00%,0.00%,71.13,72.65,28.78,4.46,1.4,0.314,3.52,-0.85,-0.241,0.555,-1.25,13.64%,11.45%,16.85%,18.18%,20.45%,2556
uNKOE vs Seoul Dynasty,Zenyatta,0:46:38,1318,13.40%,3.86,3.43,1.13,0.43,4.93,0,55,7.27%,5.45%,0.00%,0.00%,75.9,76.43,30.26,3.86,0.31,0.079,3.43,0.15,0.043,0.036,3.64,15.00%,13.43%,14.68%,17.07%,17.07%,2798
DogManvs Toronto Defiant,Zenyatta,0:22:51,1310,14.90%,6.56,2.63,2.5,3.94,5.25,0,29,13.79%,6.90%,0.00%,0.00%,75.5,91.67,15.83,6.56,1.39,0.211,2.63,0.89,0.341,-0.13,-0.86,27.27%,14.85%,17.14%,17.39%,8.70%,1371
Izayaki vs Hangzhou Spark,Zenyatta,1:12:53,1300,15.10%,4.53,4.39,1.03,0.14,5.21,0,86,8.14%,5.81%,0.00%,0.00%,83.5,79.74,24.74,4.53,0.91,0.202,4.39,-0.64,-0.145,0.347,0.08,18.92%,15.14%,16.16%,14.08%,19.72%,4373
 Luffyvs Chengdu Hunters,Zenyatta,0:54:16,1296,13.70%,4.79,3.87,1.24,0.92,4.61,0,76,10.53%,3.95%,0.00%,0.00%,85.08,81.72,32.72,4.79,0.82,0.172,3.87,-0.14,-0.036,0.208,-2.63,9.09%,13.68%,16.41%,20.00%,20.00%,3256
HagoPeunvs Washington Justice,Zenyatta,1:23:53,1295,16.30%,4.29,4.29,1,0,4.17,0,101,8.91%,6.93%,0.00%,0.00%,82.47,80.43,49.71,4.29,1.77,0.412,4.29,-1.31,-0.305,0.717,-15,9.09%,16.29%,18.65%,18.92%,24.32%,5033
 Shazvs Seoul Dynasty,Zenyatta,0:48:58,1294,16.70%,3.27,5.31,0.62,-2.04,5.31,0,61,4.92%,3.28%,0.00%,0.00%,78.11,77.31,19.73,3.27,0.45,0.139,5.31,-1.78,-0.335,0.474,-3.38,23.08%,16.67%,15.20%,18.75%,18.75%,2938
DogManvs Philadelphia Fusion,Zenyatta,0:41:52,1288,21.50%,6.69,7.17,0.93,-0.48,4.3,0,49,10.20%,16.33%,0.00%,0.00%,100.78,94.28,21.94,6.69,1.03,0.154,7.17,1.32,0.185,-0.031,11.22,5.56%,21.54%,18.18%,26.67%,28.89%,2512
 HyPvs Philadelphia Fusion,Zenyatta,0:41:59,1287,18.30%,4.05,5.24,0.77,-1.19,5,0,50,8.00%,8.00%,0.00%,0.00%,86.4,83.33,22.62,4.05,-0.4,-0.099,5.24,1,0.191,-0.29,1.5,19.05%,18.28%,14.86%,22.73%,25.00%,2519
 Viol2tvs New York Excelsior,Zenyatta,1:03:34,1286,16.40%,3.15,4.56,0.69,-1.42,5.19,0,70,5.71%,8.57%,0.00%,0.00%,77.27,72.58,28.79,3.15,1.1,0.35,4.56,1.02,0.224,0.126,6.88,19.35%,16.39%,16.02%,14.55%,25.45%,3814
KodaK vs Florida Mayhem,Zenyatta,0:11:43,1282,16.70%,5.12,3.41,1.5,1.71,5.12,0,13,0.00%,7.69%,0.00%,0.00%,78.33,77.83,23.33,5.12,-0.27,-0.053,3.41,-2.94,-0.862,0.809,-1.54,16.67%,16.67%,16.67%,30.00%,20.00%,703
ryujehongvs New York Excelsior,Zenyatta,0:34:54,1281,17.20%,2.87,4.87,0.59,-2.01,5.16,0,39,7.69%,2.56%,0.00%,0.00%,81.88,78.89,23.56,2.87,1.91,0.667,4.87,0.39,0.081,0.586,5.77,23.53%,17.24%,15.89%,18.52%,22.22%,2094
Boomboxvs Los Angeles Valiant,Zenyatta,1:00:38,1275,15.50%,4.12,4.62,0.89,-0.49,4.95,0,75,9.33%,2.67%,0.00%,0.00%,84.91,79.6,32.27,4.12,1.18,0.287,4.62,0.47,0.101,0.186,0.15,10.00%,15.53%,17.50%,25.45%,25.45%,3638
Boomboxvs Washington Justice,Zenyatta,0:52:42,1272,16.80%,5.31,4.36,1.22,0.95,4.74,0,62,6.45%,4.84%,0.00%,0.00%,89.55,85.2,28.36,5.31,0.22,0.041,4.36,-0.97,-0.223,0.264,18.86,30.43%,16.77%,19.83%,19.15%,21.28%,3162
 Viol2tvs Hangzhou Spark,Zenyatta,0:44:10,1266,11.50%,3.17,3.62,0.88,-0.45,5.89,0,55,5.45%,10.91%,0.00%,0.00%,78.45,72.77,22.12,3.17,2.94,0.928,3.62,0.93,0.257,0.671,10.62,8.00%,11.48%,15.84%,14.29%,22.86%,2650
KodaK vs Houston Outlaws,Zenyatta,0:27:57,1266,16.90%,4.29,5.72,0.75,-1.43,5.01,0,35,5.71%,2.86%,0.00%,0.00%,75.2,79.43,25.71,4.29,0.36,0.083,5.72,-2.15,-0.376,0.459,-1.27,35.71%,16.90%,16.84%,20.00%,26.67%,1677
 Shazvs London Spitfire,Zenyatta,0:49:56,1265,12.50%,3.2,3.6,0.89,-0.4,5.21,0,57,5.26%,8.77%,0.00%,0.00%,82.17,78.69,24.23,3.2,1.06,0.331,3.6,0.54,0.15,0.181,7.02,12.00%,12.50%,14.06%,13.64%,11.36%,2996
HagoPeunvs Boston Uprising,Zenyatta,0:56:43,1263,18.30%,4.23,4.58,0.92,-0.35,4.94,0,64,6.25%,10.94%,0.00%,0.00%,73.58,81.07,29.57,4.23,-2.46,-0.58,4.58,0.78,0.171,-0.751,1.7,11.11%,18.32%,15.76%,16.00%,28.00%,3403
 kyo vs Atlanta Reign,Zenyatta,0:45:47,1248,13.90%,5.02,5.68,0.88,-0.66,4.59,0,61,8.20%,3.28%,0.00%,0.00%,78.22,81.9,32.48,5.02,0.78,0.156,5.68,-1.41,-0.249,0.405,-10.35,5.26%,13.94%,18.71%,27.45%,11.76%,2747
JJoNak vs Washington Justice,Zenyatta,0:27:02,1247,10.70%,3.33,2.22,1.5,1.11,3.7,0,31,16.13%,9.68%,0.00%,0.00%,77.5,78.2,52.2,3.33,2.17,0.652,2.22,0.37,0.167,0.485,29.03,0.00%,10.71%,17.65%,22.73%,13.64%,1622
Izayaki vs Philadelphia Fusion,Zenyatta,1:00:38,1240,13.40%,3.46,4.45,0.78,-0.99,4.95,0,75,6.67%,5.33%,0.00%,0.00%,73.09,76.27,31.57,3.46,1.29,0.371,4.45,1.29,0.289,0.082,-1.76,10.34%,13.38%,16.17%,21.82%,23.64%,3638
uNKOE vs Shanghai Dragons,Zenyatta,1:04:32,1238,16.80%,4.8,5.11,0.94,-0.31,4.34,0,79,8.86%,6.33%,0.00%,0.00%,79.79,84.71,31.36,4.8,0.47,0.097,5.11,1.19,0.233,-0.136,4.07,11.11%,16.76%,17.37%,17.46%,22.22%,3872
Aimgod vs Houston Outlaws,Zenyatta,1:05:42,1237,14.00%,3.65,4.11,0.89,-0.46,4.57,0,78,1.28%,8.97%,0.00%,0.00%,90.08,78.7,38.17,3.65,-1.39,-0.381,4.11,0.92,0.223,-0.604,5.52,3.57%,14.04%,13.85%,16.95%,25.42%,3942
