Player,Hero,Time,Rating,% of Kills,Kills per 10,Deaths per 10,Kills/Deaths per 10,Kills - Deaths per 10,Ults per 10,Kills per Ult,Fights Fought,% Get First Kills,% Get First Death,% HS Kills,% Ult Kills,TT Charge First Ultimate (s/ult),TT Charge Ult (s/ult),Ult Hold Time (s/ult),Kills per 10,Kill Impact per 10,Impact / Kill per 10,Death per 10,Death Impact per 10,Impact / Death per 10,I/K - I/D,FUU Win - Fwin,% Ult outside of fight,PTK,PTD,F3K,F3D,timeSec
 HyPvs London Spitfire,Zenyatta,0:37:33,1233,14.30%,4.26,4.26,1,0,3.99,0,50,10.00%,8.00%,0.00%,0.00%,96.43,89.93,33.67,4.26,1.8,0.423,4.26,0.39,0.092,0.331,5.64,13.33%,14.29%,14.55%,16.67%,23.81%,2253
 Gidovs Seoul Dynasty,Zenyatta,0:40:54,1232,10.00%,1.96,2.93,0.67,-0.98,4.65,0,41,2.44%,7.32%,0.00%,0.00%,71,74.74,34.68,1.96,0.69,0.355,2.93,-0.14,-0.047,0.402,-5.75,15.79%,10.00%,12.00%,9.38%,18.75%,2454
 BeBevs Shanghai Dragons,Zenyatta,0:19:45,1229,10.80%,3.54,3.54,1,0,7.09,0,25,8.00%,8.00%,0.00%,0.00%,63.5,65.79,14.86,3.54,2.18,0.615,3.54,1.87,0.529,0.086,13.82,7.69%,10.77%,17.07%,19.05%,19.05%,1185
 Nekovs Chengdu Hunters,Zenyatta,0:28:49,1229,15.40%,4.16,3.82,1.09,0.35,4.51,0,35,5.71%,17.14%,0.00%,0.00%,90.67,90.08,24.23,4.16,0.25,0.059,3.82,2.44,0.639,-0.58,25.71,7.69%,15.38%,13.75%,23.08%,30.77%,1729
 Gidovs New York Excelsior,Zenyatta,0:27:03,1227,17.60%,2.22,4.81,0.46,-2.59,4.44,0,31,3.23%,9.68%,0.00%,0.00%,78.14,75.5,30.58,2.22,0.92,0.413,4.81,0.02,0.003,0.41,-22.58,36.36%,17.65%,15.12%,9.09%,36.36%,1623
 Shuvs Dallas Fuel,Zenyatta,0:34:04,1226,13.50%,4.4,3.52,1.25,0.88,4.4,0,43,2.33%,11.63%,0.00%,0.00%,70.6,77.67,47.6,4.4,0.11,0.025,3.52,0.92,0.263,-0.238,5.5,20.00%,13.51%,18.18%,16.67%,30.00%,2044
 Aid vs Los Angeles Valiant,Zenyatta,1:06:24,1218,12.30%,3.46,3.92,0.88,-0.45,4.67,0,80,11.25%,5.00%,0.00%,0.00%,90.18,84.68,31.13,3.46,1.5,0.433,3.92,0.1,0.027,0.406,3.88,16.67%,12.30%,14.94%,20.34%,22.03%,3984
Stratus vs Seoul Dynasty,Zenyatta,0:14:55,1218,20.70%,4.02,5.36,0.75,-1.34,4.02,0,17,5.88%,5.88%,0.00%,0.00%,89.33,85.67,32.83,4.02,0.14,0.034,5.36,-0.82,-0.153,0.187,-9.41,16.67%,20.69%,15.69%,21.43%,28.57%,895
Twilight vs Guangzhou Charge,Zenyatta,0:28:45,1216,12.50%,3.48,3.48,1,0,4.52,0,35,8.57%,5.71%,0.00%,0.00%,82.71,74.23,28.31,3.48,1.19,0.343,3.48,0.67,0.192,0.151,9.35,8.33%,12.50%,17.54%,13.04%,26.09%,1725
 Shazvs Paris Eternal,Zenyatta,0:58:04,1214,12.50%,3.44,4.99,0.69,-1.55,4.82,0,66,3.03%,7.58%,0.00%,0.00%,83.18,71.71,41.93,3.44,1.25,0.363,4.99,1.37,0.275,0.088,-4.92,3.85%,12.50%,15.59%,9.62%,17.31%,3484
HagoPeunvs Houston Outlaws,Zenyatta,0:35:42,1210,22.50%,4.48,6.72,0.67,-2.24,4.2,0,43,9.30%,13.95%,0.00%,0.00%,96.78,87.8,39.07,4.48,0.24,0.053,6.72,1.68,0.25,-0.197,12.79,13.33%,22.54%,18.90%,18.18%,30.30%,2142
ryujehongvs London Spitfire,Zenyatta,0:58:31,1210,11.90%,3.59,3.42,1.05,0.17,3.93,0,62,6.45%,8.06%,0.00%,0.00%,85.8,79.65,59,3.59,0.2,0.055,3.42,-0.38,-0.11,0.165,-5.43,9.52%,11.86%,17.86%,20.75%,16.98%,3511
Revengevs Los Angeles Valiant,Zenyatta,0:16:32,1203,9.50%,2.42,2.42,1,0,6.05,0,19,5.26%,5.26%,0.00%,0.00%,74.5,79.9,8.6,2.42,1.28,0.529,2.42,0.46,0.188,0.341,-14.04,10.00%,9.52%,10.00%,6.67%,6.67%,992
Aimgod vs New York Excelsior,Zenyatta,1:00:21,1200,18.60%,3.98,5.63,0.71,-1.66,4.64,0,69,11.59%,14.49%,0.00%,0.00%,83.23,87.54,26.89,3.98,2.42,0.609,5.63,2.02,0.359,0.25,6.79,7.14%,18.60%,17.62%,18.18%,32.73%,3621
 Luffyvs Dallas Fuel,Zenyatta,0:55:20,1186,14.20%,3.8,5.6,0.68,-1.81,5.06,0,68,7.35%,5.88%,0.00%,0.00%,73.45,76.39,24.71,3.8,0.23,0.06,5.6,0.44,0.079,-0.019,-7.35,14.29%,14.19%,16.85%,15.52%,22.41%,3320
JJoNak vs Los Angeles Valiant,Zenyatta,0:49:11,1178,11.80%,3.66,3.66,1,0,4.88,0,52,3.85%,9.62%,0.00%,0.00%,70.67,73.92,30.63,3.66,-0.53,-0.146,3.66,0.22,0.059,-0.205,19.33,8.70%,11.76%,18.75%,16.67%,23.81%,2951
 BeBevs Toronto Defiant,Zenyatta,0:54:42,1173,13.00%,2.93,5.12,0.57,-2.19,4.57,0,65,6.15%,1.54%,0.00%,0.00%,73.62,75.08,38.8,2.93,0.34,0.115,5.12,-0.1,-0.019,0.134,-21.54,8.70%,13.01%,15.38%,15.09%,28.30%,3282
 HyPvs Atlanta Reign,Zenyatta,0:42:44,1170,19.40%,4.68,8.19,0.57,-3.51,4.68,0,55,9.09%,7.27%,0.00%,0.00%,90.57,86.75,25.3,4.68,2.38,0.508,8.19,-1.07,-0.131,0.639,-16.9,5.00%,19.42%,18.04%,18.00%,32.00%,2564
DogManvs Chengdu Hunters,Zenyatta,0:31:37,1170,13.50%,4.74,6.33,0.75,-1.58,5.06,0,41,2.44%,2.44%,0.00%,0.00%,72.67,73.69,27.69,4.74,0.56,0.119,6.33,-0.25,-0.039,0.158,-1.22,6.67%,13.51%,19.23%,16.22%,27.03%,1897
JJoNak vs Houston Outlaws,Zenyatta,0:37:25,1169,12.10%,4.81,2.94,1.64,1.87,4.28,0,43,13.95%,6.98%,0.00%,0.00%,85.38,86.75,48.25,4.81,2.25,0.468,2.94,0.53,0.179,0.289,-4.02,14.29%,12.08%,23.91%,32.35%,20.59%,2245
 Shuvs Florida Mayhem,Zenyatta,0:43:21,1167,9.00%,1.85,2.54,0.73,-0.69,5.31,0,51,3.92%,9.80%,0.00%,0.00%,97.88,79.39,23.74,1.85,0.83,0.448,2.54,1.34,0.527,-0.079,16.08,17.39%,8.99%,11.11%,6.06%,18.18%,2601
Bdosin vs Philadelphia Fusion,Zenyatta,0:43:55,1161,15.10%,4.1,4.55,0.9,-0.46,4.1,0,55,5.45%,12.73%,0.00%,0.00%,82.33,84.94,33.44,4.1,0.17,0.042,4.55,3.79,0.833,-0.791,-0.15,33.33%,15.13%,15.87%,18.42%,34.21%,2635
uNKOE vs Boston Uprising,Zenyatta,1:08:18,1159,13.10%,3.81,5.56,0.68,-1.76,4.25,0,86,10.47%,5.81%,0.00%,0.00%,73.64,76.52,50.07,3.81,1.52,0.399,5.56,-1.04,-0.187,0.586,-2.27,11.11%,13.13%,19.39%,20.00%,29.23%,4098
HagoPeunvs Atlanta Reign,Zenyatta,0:38:16,1157,10.80%,2.61,4.18,0.63,-1.57,4.18,0,41,2.44%,2.44%,0.00%,0.00%,84.25,80.38,34.75,2.61,-0.6,-0.23,4.18,-0.45,-0.107,-0.123,-14.19,20.00%,10.75%,12.12%,9.09%,15.15%,2296
 kyo vs Shanghai Dragons,Zenyatta,0:29:29,1152,12.70%,2.71,6.11,0.44,-3.39,5.09,0,39,7.69%,5.13%,0.00%,0.00%,85.38,77,17.6,2.71,1.09,0.403,6.11,0.1,0.016,0.387,-5.9,14.29%,12.70%,15.65%,19.35%,16.13%,1769
 HyPvs San Francisco Shock,Zenyatta,0:48:50,1151,12.10%,2.25,5.32,0.42,-3.07,5.12,0,56,7.14%,7.14%,0.00%,0.00%,79.75,75.04,27.16,2.25,2.21,0.98,5.32,0.34,0.064,0.916,4.61,4.00%,12.09%,16.46%,16.28%,27.91%,2930
 kyo vs Toronto Defiant,Zenyatta,0:30:58,1144,13.00%,2.91,4.84,0.6,-1.94,4.52,0,38,2.63%,5.26%,0.00%,0.00%,82.88,84.5,21.57,2.91,1.46,0.503,4.84,-0.22,-0.046,0.549,-5.74,15.38%,13.04%,15.46%,19.23%,34.62%,1858
 BeBevs San Francisco Shock,Zenyatta,0:35:22,1143,7.50%,1.98,3.68,0.54,-1.7,5.37,0,44,2.27%,9.09%,0.00%,0.00%,73.78,69,29.47,1.98,1.08,0.548,3.68,0.6,0.162,0.386,-19.09,11.11%,7.53%,15.66%,13.79%,17.24%,2122
Rawkus vs Los Angeles Valiant,Zenyatta,0:56:52,1143,12.70%,3.52,4.75,0.74,-1.23,4.4,0,70,1.43%,8.57%,0.00%,0.00%,80.33,86.16,37.52,3.52,1.32,0.377,4.75,0.81,0.171,0.206,11.43,8.00%,12.66%,15.98%,11.32%,11.32%,3412
 BeBevs Los Angeles Gladiators,Zenyatta,0:50:40,1140,9.90%,3.16,4.34,0.73,-1.18,5.13,0,59,8.47%,3.39%,0.00%,0.00%,73.27,75.92,29.62,3.16,0.39,0.123,4.34,-0.2,-0.047,0.17,1.2,12.50%,9.88%,16.54%,13.73%,17.65%,3040
 Gidovs London Spitfire,Zenyatta,1:10:35,1137,14.00%,2.13,4.68,0.45,-2.55,5.1,0,79,6.33%,10.13%,0.00%,0.00%,102,83.67,25.19,2.13,1.02,0.48,4.68,0.89,0.191,0.289,-8.14,25.71%,14.02%,15.87%,22.45%,28.57%,4235
Bdosin vs Hangzhou Spark,Zenyatta,0:41:03,1135,14.40%,3.9,3.65,1.07,0.24,4.63,0,47,12.77%,4.26%,0.00%,0.00%,96,92.05,30.74,3.9,2.4,0.615,3.65,0.74,0.202,0.413,-11.7,5.88%,14.41%,20.00%,20.00%,26.67%,2463
 Luffyvs Hangzhou Spark,Zenyatta,0:48:41,1133,13.00%,3.49,4.72,0.74,-1.23,4.31,0,62,6.45%,9.68%,0.00%,0.00%,101.56,88.29,30,3.49,1.16,0.333,4.72,1.13,0.238,0.095,-1.43,5.00%,12.98%,15.65%,16.33%,20.41%,2921
 kyo vs Seoul Dynasty,Zenyatta,0:43:00,1127,18.10%,4.88,6.74,0.72,-1.86,4.42,0,60,10.00%,8.33%,0.00%,0.00%,90.67,91.42,21.74,4.88,-0.51,-0.104,6.74,0.24,0.036,-0.14,0,33.33%,18.10%,19.08%,25.58%,34.88%,2580
 Rapelvs Los Angeles Valiant,Zenyatta,0:12:32,1127,17.90%,3.99,6.38,0.63,-2.39,5.59,0,16,0.00%,6.25%,0.00%,0.00%,62,73,24,3.99,-0.49,-0.124,6.38,-1.3,-0.204,0.08,8.75,16.67%,17.86%,19.51%,6.67%,20.00%,752
 Aid vs Houston Outlaws,Zenyatta,1:00:51,1125,11.20%,3.78,5.09,0.74,-1.31,3.94,0,75,5.33%,5.33%,0.00%,0.00%,90.09,82.25,46.71,3.78,1.03,0.274,5.09,-0.79,-0.155,0.429,-10.67,17.39%,11.22%,17.82%,18.18%,19.70%,3651
KodaK vs Los Angeles Gladiators,Zenyatta,0:13:52,1116,12.80%,3.61,5.05,0.71,-1.44,5.77,0,16,0.00%,12.50%,0.00%,0.00%,89,76.25,19.88,3.61,0.71,0.197,5.05,-0.23,-0.046,0.243,22.92,12.50%,12.82%,17.07%,13.33%,26.67%,832
Rawkus vs Hangzhou Spark,Zenyatta,0:42:36,1113,13.90%,3.76,3.99,0.94,-0.23,3.29,0,48,6.25%,8.33%,0.00%,0.00%,96.3,89,73.79,3.76,0.23,0.063,3.99,1,0.25,-0.187,-0.69,0.00%,13.91%,17.53%,11.43%,22.86%,2556
 Luffyvs Dallas Fuel,Zenyatta,1:05:57,1111,9.60%,2.73,4.85,0.56,-2.12,5.31,0,81,4.94%,7.41%,0.00%,0.00%,73.33,75.94,19.86,2.73,1.58,0.581,4.85,0.02,0.004,0.577,-11.11,15.15%,9.63%,16.75%,12.50%,18.75%,3957
 Nekovs New York Excelsior,Zenyatta,0:45:40,1102,14.30%,2.63,4.38,0.6,-1.75,4.6,0,57,1.75%,8.77%,0.00%,0.00%,100.4,88.19,24.05,2.63,0.43,0.165,4.38,1.94,0.442,-0.277,-3.01,14.29%,14.29%,14.60%,11.11%,25.00%,2740
Boomboxvs Atlanta Reign,Zenyatta,1:06:57,1094,11.40%,4.18,5.23,0.8,-1.05,5.23,0,76,3.95%,5.26%,0.00%,0.00%,89.6,87.34,17.8,4.18,1.05,0.25,5.23,-0.93,-0.178,0.428,0.19,0.00%,11.43%,17.59%,11.59%,17.39%,4017
 Elk vs Florida Mayhem,Zenyatta,0:48:14,1080,14.00%,3.73,4.77,0.78,-1.04,3.73,0,58,1.72%,6.90%,0.00%,0.00%,103.67,100.5,25.11,3.73,-0.55,-0.147,4.77,-0.25,-0.052,-0.095,-6.32,5.88%,13.95%,14.02%,10.87%,15.22%,2894
Izayaki vs Guangzhou Charge,Zenyatta,0:53:52,1076,15.60%,3.16,5.38,0.59,-2.23,5.01,0,66,3.03%,13.64%,0.00%,0.00%,96.3,80.59,25.85,3.16,-0.94,-0.299,5.38,2.01,0.374,-0.673,4.36,16.00%,15.60%,18.24%,14.29%,30.61%,3232
 Gidovs Florida Mayhem,Zenyatta,1:24:57,1076,12.70%,2.94,4.24,0.69,-1.29,4.47,0,102,6.86%,11.76%,0.00%,0.00%,88.35,87.47,28.03,2.94,-0.05,-0.016,4.24,1.09,0.256,-0.272,6.12,15.79%,12.69%,15.65%,10.67%,24.00%,5097
Sleepy vs Los Angeles Gladiators,Zenyatta,1:00:07,1066,7.30%,1.5,3.49,0.43,-2,5.16,0,69,4.35%,1.45%,0.00%,0.00%,82.46,79.81,23.97,1.5,0.33,0.221,3.49,-0.35,-0.101,0.322,4.35,17.24%,7.32%,13.91%,13.95%,20.93%,3607
 kyo vs Guangzhou Charge,Zenyatta,0:26:02,1059,16.10%,3.84,4.99,0.77,-1.15,3.84,0,29,3.45%,6.90%,0.00%,0.00%,125.17,97.2,11.3,3.84,1.28,0.332,4.99,1.76,0.352,-0.02,1.72,20.00%,16.13%,19.12%,26.09%,39.13%,1562
 kyo vs Florida Mayhem,Zenyatta,0:31:43,1059,11.10%,3.15,4.1,0.77,-0.95,4.1,0,42,4.76%,11.90%,0.00%,0.00%,111.17,91.31,31.54,3.15,0.56,0.179,4.1,-0.76,-0.185,0.364,-30.95,7.69%,11.11%,16.67%,12.50%,21.88%,1903
Rawkus vs Florida Mayhem,Zenyatta,0:36:13,1057,11.60%,3.59,4.42,0.81,-0.83,3.59,0,45,6.67%,6.67%,0.00%,0.00%,106.88,100.62,49.54,3.59,0.88,0.245,4.42,0.46,0.103,0.142,14.75,0.00%,11.61%,14.55%,15.79%,18.42%,2173
HagoPeunvs Philadelphia Fusion,Zenyatta,0:38:24,1056,15.00%,4.69,5.47,0.86,-0.78,3.91,0,45,8.89%,17.78%,0.00%,0.00%,95.33,91.13,38.33,4.69,0.68,0.146,5.47,2.07,0.379,-0.233,0.56,7.69%,15.00%,20.79%,25.71%,42.86%,2304
ryujehongvs Boston Uprising,Zenyatta,1:04:14,1053,9.90%,2.65,4.51,0.59,-1.87,5.45,0,73,6.85%,9.59%,0.00%,0.00%,92.62,81.74,16.03,2.65,1.53,0.577,4.51,0.95,0.21,0.367,-0.95,20.00%,9.94%,17.90%,14.29%,20.63%,3854
Aimgod vs Toronto Defiant,Zenyatta,0:56:04,1053,9.50%,2.32,5.35,0.43,-3.03,4.99,0,71,2.82%,4.23%,0.00%,0.00%,81.2,82.25,26.54,2.32,0.48,0.207,5.35,-0.38,-0.071,0.278,-9.46,11.11%,9.49%,14.63%,14.04%,15.79%,3364
Bdosin vs Shanghai Dragons,Zenyatta,0:45:42,1053,13.50%,3.94,5.91,0.67,-1.97,4.6,0,66,6.06%,9.09%,0.00%,0.00%,92.55,89.38,28.71,3.94,2.01,0.51,5.91,2.09,0.354,0.156,-16.22,5.26%,13.53%,18.37%,15.69%,25.49%,2742
 BeBevs Los Angeles Valiant,Zenyatta,0:52:49,1046,9.20%,2.46,4.92,0.5,-2.46,5.11,0,65,3.08%,4.62%,0.00%,0.00%,73.5,76.22,31.22,2.46,-0.02,-0.007,4.92,0.55,0.111,-0.118,20.56,7.69%,9.22%,15.76%,7.41%,16.67%,3169
KodaK vs Philadelphia Fusion,Zenyatta,0:25:09,1046,12.20%,3.58,6.36,0.56,-2.78,4.77,0,27,3.70%,3.70%,0.00%,0.00%,96.6,92.17,28,3.58,0.78,0.217,6.36,-3.38,-0.531,0.748,15.56,0.00%,12.16%,18.39%,25.00%,12.50%,1509
Bdosin vs Seoul Dynasty,Zenyatta,1:00:54,1038,12.90%,2.46,5.09,0.48,-2.63,4.43,0,65,3.08%,6.15%,0.00%,0.00%,76,86.11,38.81,2.46,-0.25,-0.102,5.09,-0.56,-0.109,0.007,6.99,3.85%,12.93%,16.67%,12.73%,23.64%,3654
 Luffyvs London Spitfire,Zenyatta,0:49:02,1032,12.40%,4.28,5.51,0.78,-1.22,4.08,0,70,5.71%,12.86%,0.00%,0.00%,88,88.35,39.85,4.28,1.33,0.312,5.51,2.63,0.477,-0.165,14.29,11.11%,12.35%,19.57%,18.18%,27.27%,2942
uNKOE vs San Francisco Shock,Zenyatta,0:38:47,1021,15.00%,2.32,6.7,0.35,-4.38,5.16,0,52,1.92%,13.46%,0.00%,0.00%,63.75,74.05,31.55,2.32,-0.98,-0.423,6.7,1.09,0.163,-0.586,-12.64,15.79%,15.00%,16.67%,7.69%,35.90%,2327
Rawkus vs Boston Uprising,Zenyatta,1:07:24,1012,8.90%,2.82,4.45,0.63,-1.63,4.3,0,81,4.94%,7.41%,0.00%,0.00%,93.87,83.21,41.79,2.82,0.81,0.286,4.45,1.01,0.226,0.06,-12.7,7.69%,8.88%,17.24%,14.52%,27.42%,4044
Bdosin vs Paris Eternal,Zenyatta,0:39:06,1010,11.70%,3.58,5.12,0.7,-1.53,4.09,0,51,3.92%,13.73%,0.00%,0.00%,85.75,84.38,43.63,3.58,0.56,0.157,5.12,3.05,0.597,-0.44,4.53,0.00%,11.67%,17.70%,9.52%,30.95%,2346
Rawkus vs New York Excelsior,Zenyatta,0:31:18,1010,15.40%,1.92,6.07,0.32,-4.15,3.83,0,36,5.56%,8.33%,0.00%,0.00%,97.25,90.33,42.58,1.92,0.51,0.264,6.07,0.01,0.002,0.262,-2.22,16.67%,15.38%,15.57%,11.11%,33.33%,1878
 Viol2tvs Vancouver Titans,Zenyatta,1:05:53,1010,8.80%,2.12,5.16,0.41,-3.04,5.46,0,83,4.82%,15.66%,0.00%,0.00%,78.5,71.89,23.97,2.12,0.14,0.065,5.16,2.19,0.423,-0.358,7.42,17.14%,8.81%,16.75%,13.11%,27.87%,3953
 Aid vs Atlanta Reign,Zenyatta,0:47:28,1006,8.10%,1.9,5.27,0.36,-3.37,5.27,0,55,5.45%,1.82%,0.00%,0.00%,82.27,84.28,16,1.9,0.94,0.496,5.27,-1.53,-0.291,0.787,14.55,4.00%,8.11%,15.06%,14.29%,22.45%,2848
 Elk vs Dallas Fuel,Zenyatta,0:48:15,981,15.70%,3.52,6.42,0.55,-2.9,4.35,0,61,9.84%,16.39%,0.00%,0.00%,110.67,96.62,20.71,3.52,1.47,0.419,6.42,1.24,0.194,0.225,6.74,9.52%,15.74%,18.13%,14.58%,41.67%,2895
 Shuvs Vancouver Titans,Zenyatta,0:26:55,981,12.50%,1.49,6.32,0.24,-4.83,4.83,0,30,10.00%,10.00%,0.00%,0.00%,82,78.85,21.31,1.49,1.03,0.692,6.32,0.41,0.066,0.626,-3.33,15.38%,12.50%,17.53%,4.35%,30.43%,1615
HagoPeunvs Chengdu Hunters,Zenyatta,0:16:26,975,13.00%,3.65,5.48,0.67,-1.83,4.26,0,21,9.52%,4.76%,0.00%,0.00%,115,95.86,19.29,3.65,-0.72,-0.197,5.48,-2.55,-0.467,0.27,27.62,0.00%,13.04%,20.93%,25.00%,31.25%,986
ryujehongvs Chengdu Hunters,Zenyatta,0:44:44,971,12.90%,4.02,6.04,0.67,-2.01,4.25,0,59,8.47%,16.95%,0.00%,0.00%,91.67,91.05,37.68,4.02,1.77,0.44,6.04,2.7,0.448,-0.008,9.91,11.76%,12.86%,21.09%,21.43%,33.33%,2684
 BeBevs London Spitfire,Zenyatta,0:34:55,942,12.50%,2.29,4.58,0.5,-2.29,4.87,0,40,0.00%,12.50%,0.00%,0.00%,91.83,90.18,25.88,2.29,-0.72,-0.312,4.58,0.88,0.191,-0.503,4.44,26.67%,12.50%,18.82%,16.00%,28.00%,2095
 Gidovs San Francisco Shock,Zenyatta,0:44:22,933,11.10%,1.8,6.31,0.29,-4.51,4.96,0,57,0.00%,7.02%,0.00%,0.00%,78.11,74.77,32.27,1.8,-0.54,-0.302,6.31,0.27,0.044,-0.346,-6.64,19.05%,11.11%,16.47%,5.00%,37.50%,2662
 Banivs Florida Mayhem,Zenyatta,0:26:06,927,10.40%,3.07,5.36,0.57,-2.3,4.21,0,33,3.03%,12.12%,0.00%,0.00%,100.4,95.09,35.09,3.07,1.17,0.38,5.36,2.14,0.398,-0.018,-29.92,20.00%,10.39%,18.18%,16.67%,25.00%,1566
Revengevs Houston Outlaws,Zenyatta,0:10:33,926,25.00%,0.95,6.64,0.14,-5.69,3.79,0,9,0.00%,11.11%,0.00%,0.00%,98.67,99.75,31.75,0.95,-1.89,-1.993,6.64,1.69,0.255,-2.248,-11.11,33.33%,25.00%,18.42%,14.29%,57.14%,633
DogManvs Houston Outlaws,Zenyatta,0:14:16,918,7.70%,2.1,4.91,0.43,-2.8,4.91,0,19,5.26%,0.00%,0.00%,0.00%,93,91.14,22.29,2.1,1.01,0.479,4.91,-0.01,-0.001,0.48,20.18,0.00%,7.69%,18.42%,13.33%,26.67%,856
 Luffyvs Vancouver Titans,Zenyatta,0:42:18,912,9.20%,2.13,6.38,0.33,-4.26,3.78,0,55,3.64%,3.64%,0.00%,0.00%,82.63,80.56,51.19,2.13,-0.1,-0.047,6.38,-0.65,-0.102,0.055,5.45,20.00%,9.18%,17.20%,11.63%,30.23%,2538
 Gidovs Philadelphia Fusion,Zenyatta,0:51:11,897,12.10%,2.34,6.25,0.38,-3.91,4.49,0,59,6.78%,10.17%,0.00%,0.00%,85.4,88.04,22.35,2.34,0.5,0.212,6.25,0.07,0.011,0.201,0.21,21.74%,12.12%,19.28%,9.09%,29.55%,3071
 HyPvs Vancouver Titans,Zenyatta,0:59:33,896,12.50%,2.69,7.72,0.35,-5.04,5.21,0,74,5.41%,8.11%,0.00%,0.00%,82.67,84.52,20.81,2.69,-0.92,-0.341,7.72,-0.28,-0.037,-0.304,-6.35,9.68%,12.50%,17.90%,12.31%,27.69%,3573
DogManvs Florida Mayhem,Zenyatta,0:24:41,841,12.50%,4.46,6.89,0.65,-2.43,4.46,0,27,0.00%,11.11%,0.00%,0.00%,96,101.73,10.73,4.46,-0.02,-0.004,6.89,-1.26,-0.183,0.179,-5.56,9.09%,12.50%,24.29%,16.67%,20.83%,1481
DogManvs Los Angeles Gladiators,Zenyatta,0:29:36,787,11.80%,2.03,8.45,0.24,-6.42,5.07,0,33,6.06%,12.12%,0.00%,0.00%,76.5,85.4,16.93,2.03,-0.26,-0.13,8.45,-0.02,-0.002,-0.128,3.03,15.38%,11.76%,19.69%,13.33%,33.33%,1776
uNKOE vs Guangzhou Charge,Zenyatta,0:33:01,785,9.80%,1.82,6.06,0.3,-4.24,4.54,0,41,2.44%,7.32%,0.00%,0.00%,88.8,85.67,38.67,1.82,-1.01,-0.557,6.06,-0.13,-0.022,-0.535,-0.81,13.33%,9.84%,18.02%,6.90%,48.28%,1981